Date,Q5_Return,RF,MKT,SMB,HML,MOM,Q5_Excess_Return,Top40_Return,Top40_Excess_Return
2010-01-31,0.01020369196696702,0.0024,-0.050142709936592575,0.020544427324088455,-0.011089000026184181,-0.03940462875333384,0.00780369196696702,0.025502271739882287,0.023102271739882288
2010-02-28,0.03817573228696092,0.0024,-0.007298809932415204,0.04579768495218928,-0.012709340041040629,0.010031347962382364,0.03577573228696092,0.09441959252918952,0.09201959252918952
2010-03-31,0.03544720183891292,0.0023166666666666665,0.059310846534301596,-0.019971126082772073,0.05163928930606776,0.040702314445331345,0.033130535172246255,-0.023410316772577433,-0.0257269834392441
2010-04-30,0.018743631618818757,0.002041666666666667,0.026732294404899156,-0.0012275963663146428,0.05201081274067265,0.07523858214042267,0.01670196495215209,0.03570758520727613,0.03366591854060946
2010-05-31,-0.1063049824426961,0.002041666666666667,-0.05963945255977393,-0.0002458210422812135,0.018823101630204286,0.04239638640145804,-0.10834664910936276,-0.1506422557566234,-0.15268392242329007
2010-06-30,-0.002367014308010895,0.00205,0.03270399847677063,-0.03454634865994588,0.01109947893121399,-0.0015964725558763604,-0.004417014308010895,-0.015967745127822397,-0.018017745127822397
2010-07-31,0.042168479935006165,0.002191666666666667,0.03375036914582711,-0.01515344454348655,0.03156804838159344,-0.033198812152592794,0.039976813268339496,0.061985616704625546,0.05979395003795888
2010-08-31,-0.0059034841772759306,0.0022166666666666667,-0.011640708773605036,-0.020170674941815347,-0.013926591691949763,-0.00984484523903284,-0.008120150843942598,0.017464875381997036,0.015248208715330369
2010-09-30,0.0589044688352649,0.0022166666666666667,0.07241251135657242,-0.046978094484032784,0.03392594820306982,0.0027839643652560753,0.056687802168598235,0.05955760980568492,0.057340943139018254
2010-10-31,0.08355437447826053,0.0022166666666666667,0.0031976572636841284,0.059540293547493794,0.013469670865683625,0.048306496390893905,0.08133770781159386,0.044203305262324744,0.04198663859565808
2010-11-30,-0.060360271050769465,0.002333333333333333,0.009180514618019685,-0.0649503397804495,0.01699966883761994,0.01112288135593209,-0.06269360438410279,-0.037275569358331206,-0.03960890269166454
