model,nobs,alpha_ann_pct,alpha_t,beta_mkt,t_mkt,beta_smb,t_smb,beta_hml,t_hml,beta_mom,t_mom,r_squared
Q5,194,10.41211444859402,5.285204497077097,1.092228904226325,20.187299566823906,1.2356386782834037,19.447725830076624,-0.05148455631247866,-0.8046544176143371,-0.3468286918496157,-6.805306371558575,0.8955339750514077
Top40,194,14.607103489334783,4.931874119241809,1.0830007582484111,17.18919921673174,1.20059282375762,16.18488205242034,-0.03550805993293667,-0.35147548977513426,-0.380778268256181,-5.91211197523518,0.7892407126746425
